candidate,role,color,intensity,shape_size,integration,choice,control,visibility,proximity2dp,proximity2fe,proximity2be,uniqueness,wellknownness,relevance,frequency
Elevator,0,0.489618476,0.430840648,1.8,0.000243035,18208.5,3.666666667,260,0.651451755,0.856565682,0.057127091,0.5,229000000,0.01798996,2.4
H38,0,0.384161189,0.388099955,5.9,0.000166528,0,0.5,208,0.14369198,0.037105004,0.032677257,0.25,467000000,0.051369563,1.82
H67,0,0.725668609,0.472471765,6.3,0.000197947,62,1,187,0.056867248,0.094707738,0.093176606,1,20760000000,0.265640038,0
H79,0,0.705333228,0.200887556,14.25,0.00019206,4511,1.5,156,0.120033169,0.070183686,0.031739398,0.25,467000000,0.051369563,1.67
H92,0,0.585793131,0.310548829,14.26,0.000157218,186,0.833333333,97,0.118894277,0.023429177,0.017720575,0.25,467000000,0.051369563,1.89
J10,0,0.646754072,0.325887458,3.1,0.000149459,0,0.5,118,0.208531013,0.045238507,0.01012045,0.5,5690000000,0.43514377,3.5
J39,0,0.438825237,0.261463489,7.08,0.000171018,122,1,80,0.045311007,0.036971486,0.018614291,1,2310000,0,0
J41,0,0.334411782,0.241507764,3.48,0.000189938,141,1.5,80,0.053955327,0.049861278,0.019925748,0.33,3670000000,0.182284981,0
K13,0,0.754013649,0.543073756,5.14,0.000157477,1161,1.333333333,134,0.434524543,0.03564241,0.009603792,0.25,960000000,0.090512541,1
K32,0,0.421425662,0.379917958,1.93,0.000169566,4364.875,1.333333333,22,0.15620109,0.042124687,0.012041804,1,5510000000,0.326530612,2.95
L11,0,0.56482917,0.320543993,7.07,0.000154798,1164,1,127,0.778695112,0.036903681,0.008672082,1,3360000000,0.086425781,2.55
L12,0,0.650903102,0.318950765,2.16,0.000147105,388,0.5,114,0.413500394,0.035421119,0.008587617,1,23600000,0.002640139,1
L26,0,0.429379846,0.240494019,3.48,0.000161085,581,1,80,0.050634908,0.027010538,0.011055127,0.33,3670000000,0.182284981,0
L40,0,0.475638554,0.147172367,3.48,0.000179449,0,0.5,80,0.05348948,0.046438366,0.015574332,0.33,3670000000,0.182284981,1.2
WC-H,0,0.517604335,0.284725041,1.79,0.000165097,0,0.5,51,0.147654293,0.040412699,0.014352012,0.25,1010000000,0.037459412,3.14
WC-J,0,0.55112047,0.326053263,1.79,0.000170219,0,0.5,54,0.182069248,0.04821529,0.011017581,0.25,1010000000,0.037459412,4.62
WC-K,0,0.689998989,0.337745148,1.79,0.000161669,0,0.5,34,0.181839312,0.043789728,0.009272832,0.25,1010000000,0.037459412,3.57
WC-L,0,0.550912589,0.267328273,1.79,0.000166232,0,0.5,63,0.181928676,0.043917386,0.009550047,0.25,1010000000,0.037459412,3.67
