candidate,role,color,intensity,shape_size,integration,choice,control,visibility,proximity2dp,proximity2fe,proximity2be,uniqueness,wellknownness,relevance,frequency
Elevator,0,0.489618476,0.430840648,1.8,0.020999355,63450.5,3.666666667,260,0.651451755,0.856565682,0.047258953,0.5,42800000,0.291156463,2.4
H38,0,0.563656556,0.344208445,5.9,0.019153785,0,0.5,208,0.14369198,0.033048572,0.032677257,0.25,161000000,0.825641026,1.82
H67,0,0.725668609,0.472471765,6.3,0.020130753,0,1,187,0.061114766,0.176733014,0.093176606,1,1930000000,0.647651007,0
H79,0,0.746433712,0.330514834,14.25,0.01977994,0,1.5,156,0.120033169,0.050562659,0.027952481,0.25,161000000,0.825641026,1.67
H92,0,0.585793131,0.310548829,14.26,0.018302192,0,0.833333333,97,0.118894277,0.023613684,0.016702971,0.25,161000000,0.825641026,1.89
J10,0,0.646754072,0.325887458,3.1,0.00837236,0,0.5,118,0.731937684,0.033312934,0.0165706,0.5,680000000,0.856423174,3.5
J39,0,0.377588763,0.152519268,7.08,0.020742322,0,1,80,0.068472621,0.036971486,0.017428481,1,1,0,0
J41,0,0.469346543,0.117434872,3.48,0.020746473,0,1.5,80,0.088454945,0.050213558,0.018421225,0.33,380000000,0.53596615,0
K13,0,0.754013649,0.543073756,5.14,0.019436285,0,1.333333333,134,0.434524543,0.03564241,0.009626819,0.25,199000000,0.573487032,1
K32,0,0.442128935,0.396466999,1.93,0.019537323,3931.625,1.333333333,22,0.15620109,0.046857664,0.012591967,1,2170000000,0.743150685,2.95
L11,0,0.380933589,0.292251982,7.07,0.019384193,0,1,127,0.778695112,0.036903681,0.008826254,1,103000000,0.451754386,2.55
L12,0,0.650903102,0.318950765,2.16,0.01915398,0,0.5,114,0.413500394,0.03656541,0.008556921,1,2700000,0.259615385,1
L26,0,0.334720684,0.270659271,3.48,0.019711615,0,1,80,0.057462681,0.028838419,0.01055642,0.33,380000000,0.53596615,0
L40,0,0.279393438,0.165872424,3.48,0.020075525,0,0.5,80,0.05348948,0.042275667,0.01428903,0.33,380000000,0.53596615,1.2
WC-H,0,0.517604335,0.284725041,1.79,0.018430722,0,0.5,51,0.147654293,0.043145395,0.013719124,0.25,68800000,0.395402299,3.14
WC-J,0,0.55112047,0.326053263,1.79,0.019484384,0,0.5,54,0.182069248,0.029287251,0.015510122,0.25,68800000,0.395402299,4.62
WC-K,0,0.689998989,0.337745148,1.79,0.01881655,0,0.5,34,0.181839312,0.043789728,0.009638743,0.25,68800000,0.395402299,3.57
WC-L,0,0.550912589,0.267328273,1.79,0.019484995,0,0.5,63,0.181928676,0.043917386,0.009104835,0.25,68800000,0.395402299,3.67
