candidate,role,color,intensity,shape_size,integration,choice,control,visibility,proximity2dp,proximity2fe,proximity2be,uniqueness,wellknownness,relevance,frequency
Elevator,1,0.489618476,0.416027341,1.8,0.009499163,4004.662214,3.666666667,260.2895613,0.651451755,0.856565682,0.089351102,0.5,147000000,0.394557823,4.78
H38,1,0.563656556,0.348386597,5.9,0.005657498,0,0.5,208.5010616,0.14369198,0.035560039,0.032677257,0.25,195000000,0.327179487,1
H67,1,0.725668609,0.449890855,6.3,0.010739085,3540,1,183.3813463,0.192864231,0.124141605,0.095519926,1,2980000000,0.609756098,0
H79,1,0.746433712,0.324739322,14.25,0.005645804,0,1.5,156.3539768,0.176213483,0.037283075,0.030768016,0.25,195000000,0.327179487,1.18
H92,1,0.585793131,0.337453096,14.26,0.005951441,0,0.833333333,101.8741909,0.176093997,0.023429177,0.017211064,0.25,195000000,0.327179487,1
J10,1,0.646754072,0.350476201,3.1,0.006619928,0,0.5,121.8887743,0.208531013,0.045238507,0.010811185,0.5,794000000,0.473551637,1.58
J39,1,0.377588763,0.181525375,14.16,0.006122797,0,1,77.06962694,0.123392634,0.035711153,0.020676655,1,1,0,1
J41,1,0.475523005,0.138155439,6.96,0.005884027,0,1.5,76.95178006,0.086499344,0.045442648,0.020852789,0.33,709000000,0.61212976,1.8
K13,1,0.762244779,0.602598605,5.14,0.019251553,1190,1.333333333,136.8240779,0.32419797,0.034674506,0.006673313,0.25,347000000,0.524495677,1.29
K32,1,0.442128935,0.402337021,1.93,0.00653567,595,1.333333333,29.20010352,0.15620109,0.04212469,0.006908462,1,2920000000,0.617886179,2
L11,1,0.566626584,0.217273511,7.07,0.006347386,0,1,139.2831547,0.543704653,0.036162966,0.006072989,1,228000000,0.894736842,5.17
L12,1,0.644369198,0.26123528,2.16,0.006310609,0,0.5,126.498021,0.413500394,0.035421122,0.006051704,1,10400000,0.477884615,1.14
L26,1,0.344733707,0.25388917,3.48,0.006208653,0,1,77.14419774,0.049749735,0.026756587,0.00573444,0.33,709000000,0.61212976,2
L40,1,0.260704527,0.150250455,3.48,0.005858851,0,0.5,78.06375653,0.05140361,0.040961966,0.005016153,0.33,709000000,0.61212976,1.67
WC-H,1,0.546858448,0.301614972,1.79,0.006256785,0,0.5,54.86583595,0.147654293,0.040412699,0.014352012,0.25,174000000,0.365517241,3.33
WC-J,1,0.570084846,0.527695288,1.79,0.006694631,0,0.5,51.84538074,0.182069248,0.043855749,0.011841187,0.25,174000000,0.365517241,6.75
WC-K,1,0.705821823,0.514871747,1.79,0.006569511,0,0.5,38.30242004,0.181839312,0.043789731,0.006951813,0.25,174000000,0.365517241,3
WC-L,1,0.549904643,0.462021567,1.79,0.006475193,0,0.5,65.08401064,0.181928676,0.043917388,0.006258567,0.25,174000000,0.365517241,6.82
