place1,place2,rel1,rel2,eql_num,query_num,familiarity,role
K32,WC-L,3,2,0,2,familiar,stf
K32,L12,1,1,0,2,familiar,stf
K32,L11,1,7,1,2,familiar,stf
K32,L40,2,4,0,2,familiar,stf
K32,J10,3,1,0,2,familiar,stf
WC-L,L12,1,2,0,2,familiar,stf
WC-L,L11,1,10,0,2,familiar,stf
WC-L,L40,8,2,0,2,familiar,stf
WC-L,J10,3,0,0,2,familiar,stf
L12,L11,0,5,1,2,familiar,stf
L12,L40,3,0,0,2,familiar,stf
L12,J10,3,0,0,2,familiar,stf
L11,L40,17,1,0,2,familiar,stf
L11,J10,10,2,0,2,familiar,stf
L40,J10,1,7,0,2,familiar,stf
H38,WC-H,1,1,0,2,familiar,stf
H38,L11,5,8,0,2,familiar,stf
H38,L40,8,3,0,2,familiar,stf
H38,K13,1,0,1,2,familiar,stf
H38,J10,2,4,1,2,familiar,stf
WC-H,L11,2,1,0,2,familiar,stf
WC-H,L40,2,0,0,2,familiar,stf
WC-H,K13,1,0,0,2,familiar,stf
WC-H,J10,3,0,0,2,familiar,stf
L11,K13,5,1,1,2,familiar,stf
L40,K13,3,3,0,2,familiar,stf
K13,J10,2,0,0,2,familiar,stf
J10,H92,0,0,1,2,familiar,stf
J10,WC-J,2,4,0,2,familiar,stf
L40,H92,1,1,1,2,familiar,stf
L40,WC-J,1,4,0,2,familiar,stf
L11,H92,2,1,0,2,familiar,stf
L11,WC-J,5,2,1,2,familiar,stf
H92,WC-J,1,1,0,2,familiar,stf
H92,H38,0,2,1,2,familiar,stf
WC-J,H38,1,3,0,2,familiar,stf
L11,H79,7,3,1,2,familiar,stf
L11,J41,5,0,0,2,familiar,stf
J10,H79,2,1,0,2,familiar,stf
J10,J41,1,1,0,2,familiar,stf
H79,WC-J,2,0,0,2,familiar,stf
H79,L12,1,1,0,2,familiar,stf
H79,J41,2,1,1,2,familiar,stf
WC-J,L12,2,1,0,2,familiar,stf
WC-J,J41,1,1,0,2,familiar,stf
L12,J41,0,0,1,2,familiar,stf
L26,L11,0,1,0,2,familiar,stf
L26,H79,0,1,0,2,familiar,stf
L26,L40,0,1,0,2,familiar,stf
L26,J39,1,0,0,2,familiar,stf
L26,WC-L,1,0,0,2,familiar,stf
L11,J39,1,0,0,2,familiar,stf
H79,L40,3,1,3,2,familiar,stf
H79,J39,1,0,0,2,familiar,stf
H79,WC-L,3,1,1,2,familiar,stf
L40,J39,1,0,0,2,familiar,stf
J39,WC-L,1,0,0,2,familiar,stf
J10,Elevator,1,4,0,2,familiar,stf
L40,Elevator,1,5,0,2,familiar,stf
L11,Elevator,3,6,0,2,familiar,stf
Elevator,K32,3,1,0,2,familiar,stf
Elevator,WC-L,3,1,0,2,familiar,stf
WC-J,Elevator,0,4,0,2,familiar,stf
WC-J,WC-K,1,0,0,2,familiar,stf
J41,Elevator,0,1,0,2,familiar,stf
J41,WC-K,0,1,0,2,familiar,stf
Elevator,WC-K,1,0,0,2,familiar,stf
Elevator,H79,2,0,0,2,familiar,stf
L11,WC-K,3,0,0,2,familiar,stf
WC-K,H79,1,2,0,2,familiar,stf
WC-L,J41,2,0,0,2,familiar,stf
WC-L,H38,2,2,1,2,familiar,stf
L40,J41,2,0,0,2,familiar,stf
J41,K32,0,2,0,2,familiar,stf
J41,H38,0,3,0,2,familiar,stf
K32,H38,1,4,0,2,familiar,stf
H79,K13,3,1,0,2,familiar,stf
H79,K32,2,2,0,2,familiar,stf
K13,Elevator,0,3,0,2,familiar,stf
K13,K32,1,0,1,2,familiar,stf
H38,H79,4,1,0,2,familiar,stf
H38,WC-K,0,1,0,2,familiar,stf
K32,WC-K,0,1,0,2,familiar,stf
WC-K,J10,1,0,0,2,familiar,stf
K13,WC-J,0,1,0,2,familiar,stf
WC-K,K13,0,1,0,2,familiar,stf
WC-K,L40,0,1,0,2,familiar,stf
WC-K,WC-L,0,1,0,2,familiar,stf
K13,WC-L,2,2,0,2,familiar,stf
WC-J,WC-H,2,0,0,2,familiar,stf
H79,H92,1,0,0,2,familiar,stf
K32,H92,0,1,0,2,familiar,stf
H38,L12,1,0,0,2,familiar,stf
H92,L12,0,1,0,2,familiar,stf
H38,Elevator,0,3,0,2,familiar,stf
Elevator,L12,2,0,0,2,familiar,stf
L12,K13,2,0,0,2,familiar,stf
L12,WC-H,1,0,0,2,familiar,stf
WC-H,Elevator,0,1,0,2,familiar,stf
K32,WC-L,4,1,0,2,unfamiliar,stf
K32,L12,1,1,0,2,unfamiliar,stf
K32,L11,5,4,0,2,unfamiliar,stf
K32,L40,5,1,0,2,unfamiliar,stf
K32,J10,2,2,0,2,unfamiliar,stf
WC-L,L12,1,2,0,2,unfamiliar,stf
WC-L,L11,6,4,1,2,unfamiliar,stf
WC-L,L40,9,1,0,2,unfamiliar,stf
WC-L,J10,2,1,0,2,unfamiliar,stf
L12,L11,1,4,1,2,unfamiliar,stf
L12,L40,3,0,0,2,unfamiliar,stf
L12,J10,1,1,1,2,unfamiliar,stf
L11,L40,14,2,2,2,unfamiliar,stf
L11,J10,5,7,0,2,unfamiliar,stf
L40,J10,0,8,0,2,unfamiliar,stf
H38,WC-H,0,2,0,2,unfamiliar,stf
H38,L11,12,1,0,2,unfamiliar,stf
H38,L40,10,1,0,2,unfamiliar,stf
H38,K13,2,0,0,2,unfamiliar,stf
H38,J10,5,2,0,2,unfamiliar,stf
WC-H,L11,3,0,0,2,unfamiliar,stf
WC-H,L40,1,0,1,2,unfamiliar,stf
WC-H,K13,0,1,0,2,unfamiliar,stf
WC-H,J10,3,0,0,2,unfamiliar,stf
L11,K13,2,5,0,2,unfamiliar,stf
L40,K13,1,5,0,2,unfamiliar,stf
K13,J10,2,0,0,2,unfamiliar,stf
J10,H92,0,1,0,2,unfamiliar,stf
J10,WC-J,1,5,0,2,unfamiliar,stf
L40,H92,0,3,0,2,unfamiliar,stf
L40,WC-J,0,5,0,2,unfamiliar,stf
L11,H92,1,2,0,2,unfamiliar,stf
L11,WC-J,2,6,0,2,unfamiliar,stf
H92,WC-J,2,0,0,2,unfamiliar,stf
H92,H38,0,3,0,2,unfamiliar,stf
WC-J,H38,2,2,0,2,unfamiliar,stf
L11,H79,5,6,0,2,unfamiliar,stf
L11,J41,4,1,0,2,unfamiliar,stf
J10,H79,1,2,0,2,unfamiliar,stf
J10,J41,1,1,0,2,unfamiliar,stf
H79,WC-J,0,1,1,2,unfamiliar,stf
H79,L12,2,0,0,2,unfamiliar,stf
H79,J41,3,1,0,2,unfamiliar,stf
WC-J,L12,2,1,0,2,unfamiliar,stf
WC-J,J41,1,1,0,2,unfamiliar,stf
L12,J41,0,1,0,2,unfamiliar,stf
L26,L11,0,1,0,2,unfamiliar,stf
L26,H79,0,1,0,2,unfamiliar,stf
L26,L40,0,1,0,2,unfamiliar,stf
L26,J39,1,0,0,2,unfamiliar,stf
L26,WC-L,1,0,0,2,unfamiliar,stf
L11,J39,1,0,0,2,unfamiliar,stf
H79,L40,6,1,0,2,unfamiliar,stf
H79,J39,1,0,0,2,unfamiliar,stf
H79,WC-L,2,3,0,2,unfamiliar,stf
L40,J39,1,0,0,2,unfamiliar,stf
J39,WC-L,1,0,0,2,unfamiliar,stf
J10,Elevator,0,5,0,2,unfamiliar,stf
L40,Elevator,0,6,0,2,unfamiliar,stf
L11,Elevator,1,8,0,2,unfamiliar,stf
Elevator,K32,3,1,0,2,unfamiliar,stf
Elevator,WC-L,4,0,0,2,unfamiliar,stf
WC-J,Elevator,0,4,0,2,unfamiliar,stf
WC-J,WC-K,1,0,0,2,unfamiliar,stf
J41,Elevator,0,1,0,2,unfamiliar,stf
J41,WC-K,0,1,0,2,unfamiliar,stf
Elevator,WC-K,1,0,0,2,unfamiliar,stf
Elevator,H79,2,0,0,2,unfamiliar,stf
L11,WC-K,1,2,0,2,unfamiliar,stf
WC-K,H79,3,0,0,2,unfamiliar,stf
WC-L,J41,2,0,0,2,unfamiliar,stf
WC-L,H38,2,3,0,2,unfamiliar,stf
L40,J41,0,0,2,2,unfamiliar,stf
J41,K32,0,2,0,2,unfamiliar,stf
J41,H38,0,3,0,2,unfamiliar,stf
K32,H38,0,5,0,2,unfamiliar,stf
