place1,place2,rel1,rel2,eql_num,query_num
K32,WC-L,3,2,0,2
K32,L12,1,1,0,2
K32,L11,1,7,1,2
K32,L40,2,4,0,2
K32,J10,3,1,0,2
WC-L,L12,1,2,0,2
WC-L,L11,1,10,0,2
WC-L,L40,8,2,0,2
WC-L,J10,3,0,0,2
L12,L11,0,5,1,2
L12,L40,3,0,0,2
L12,J10,3,0,0,2
L11,L40,17,1,0,2
L11,J10,10,2,0,2
L40,J10,1,7,0,2
H38,WC-H,1,1,0,2
H38,L11,5,8,0,2
H38,L40,8,3,0,2
H38,K13,1,0,1,2
H38,J10,2,4,1,2
WC-H,L11,2,1,0,2
WC-H,L40,2,0,0,2
WC-H,K13,1,0,0,2
WC-H,J10,3,0,0,2
L11,K13,5,1,1,2
L40,K13,3,3,0,2
K13,J10,2,0,0,2
J10,H92,0,0,1,2
J10,WC-J,2,4,0,2
L40,H92,1,1,1,2
L40,WC-J,1,4,0,2
L11,H92,2,1,0,2
L11,WC-J,5,2,1,2
H92,WC-J,1,1,0,2
H92,H38,0,2,1,2
WC-J,H38,1,3,0,2
L11,H79,7,3,1,2
L11,J41,5,0,0,2
J10,H79,2,1,0,2
J10,J41,1,1,0,2
H79,WC-J,2,0,0,2
H79,L12,1,1,0,2
H79,J41,2,1,1,2
WC-J,L12,2,1,0,2
WC-J,J41,1,1,0,2
L12,J41,0,0,1,2
L26,L11,0,1,0,2
L26,H79,0,1,0,2
L26,L40,0,1,0,2
L26,J39,1,0,0,2
L26,WC-L,1,0,0,2
L11,J39,1,0,0,2
H79,L40,3,1,3,2
H79,J39,1,0,0,2
H79,WC-L,3,1,1,2
L40,J39,1,0,0,2
J39,WC-L,1,0,0,2
J10,Elevator,1,4,0,2
L40,Elevator,1,5,0,2
L11,Elevator,3,6,0,2
Elevator,K32,3,1,0,2
Elevator,WC-L,3,1,0,2
WC-J,Elevator,0,4,0,2
WC-J,WC-K,1,0,0,2
J41,Elevator,0,1,0,2
J41,WC-K,0,1,0,2
Elevator,WC-K,1,0,0,2
Elevator,H79,2,0,0,2
L11,WC-K,3,0,0,2
WC-K,H79,1,2,0,2
WC-L,J41,2,0,0,2
WC-L,H38,2,2,1,2
L40,J41,2,0,0,2
J41,K32,0,2,0,2
J41,H38,0,3,0,2
K32,H38,1,4,0,2
H79,K13,3,1,0,2
H79,K32,2,2,0,2
K13,Elevator,0,3,0,2
K13,K32,1,0,1,2
H38,H79,4,1,0,2
H38,WC-K,0,1,0,2
K32,WC-K,0,1,0,2
WC-K,J10,1,0,0,2
K13,WC-J,0,1,0,2
WC-K,K13,0,1,0,2
WC-K,L40,0,1,0,2
WC-K,WC-L,0,1,0,2
K13,WC-L,2,2,0,2
WC-J,WC-H,2,0,0,2
H79,H92,1,0,0,2
K32,H92,0,1,0,2
H38,L12,1,0,0,2
H92,L12,0,1,0,2
H38,Elevator,0,3,0,2
Elevator,L12,2,0,0,2
L12,K13,2,0,0,2
L12,WC-H,1,0,0,2
WC-H,Elevator,0,1,0,2
