place1,place2,rel1,rel2,eql_num,query_num
K32,WC-L,4,1,0,2
K32,L12,1,1,0,2
K32,L11,5,4,0,2
K32,L40,5,1,0,2
K32,J10,2,2,0,2
WC-L,L12,1,2,0,2
WC-L,L11,6,4,1,2
WC-L,L40,9,1,0,2
WC-L,J10,2,1,0,2
L12,L11,1,4,1,2
L12,L40,3,0,0,2
L12,J10,1,1,1,2
L11,L40,14,2,2,2
L11,J10,5,7,0,2
L40,J10,0,8,0,2
H38,WC-H,0,2,0,2
H38,L11,12,1,0,2
H38,L40,10,1,0,2
H38,K13,2,0,0,2
H38,J10,5,2,0,2
WC-H,L11,3,0,0,2
WC-H,L40,1,0,1,2
WC-H,K13,0,1,0,2
WC-H,J10,3,0,0,2
L11,K13,2,5,0,2
L40,K13,1,5,0,2
K13,J10,2,0,0,2
J10,H92,0,1,0,2
J10,WC-J,1,5,0,2
L40,H92,0,3,0,2
L40,WC-J,0,5,0,2
L11,H92,1,2,0,2
L11,WC-J,2,6,0,2
H92,WC-J,2,0,0,2
H92,H38,0,3,0,2
WC-J,H38,2,2,0,2
L11,H79,5,6,0,2
L11,J41,4,1,0,2
J10,H79,1,2,0,2
J10,J41,1,1,0,2
H79,WC-J,0,1,1,2
H79,L12,2,0,0,2
H79,J41,3,1,0,2
WC-J,L12,2,1,0,2
WC-J,J41,1,1,0,2
L12,J41,0,1,0,2
L26,L11,0,1,0,2
L26,H79,0,1,0,2
L26,L40,0,1,0,2
L26,J39,1,0,0,2
L26,WC-L,1,0,0,2
L11,J39,1,0,0,2
H79,L40,6,1,0,2
H79,J39,1,0,0,2
H79,WC-L,2,3,0,2
L40,J39,1,0,0,2
J39,WC-L,1,0,0,2
J10,Elevator,0,5,0,2
L40,Elevator,0,6,0,2
L11,Elevator,1,8,0,2
Elevator,K32,3,1,0,2
Elevator,WC-L,4,0,0,2
WC-J,Elevator,0,4,0,2
WC-J,WC-K,1,0,0,2
J41,Elevator,0,1,0,2
J41,WC-K,0,1,0,2
Elevator,WC-K,1,0,0,2
Elevator,H79,2,0,0,2
L11,WC-K,1,2,0,2
WC-K,H79,3,0,0,2
WC-L,J41,2,0,0,2
WC-L,H38,2,3,0,2
L40,J41,0,0,2,2
J41,K32,0,2,0,2
J41,H38,0,3,0,2
K32,H38,0,5,0,2
H79,K13,3,1,0,2
H79,K32,2,2,0,2
K13,Elevator,0,3,0,2
K13,K32,0,2,0,2
H38,H79,4,0,1,2
H38,WC-K,0,1,0,2
K32,WC-K,0,1,0,2
WC-K,J10,1,0,0,2
K13,WC-J,0,1,0,2
WC-K,K13,1,0,0,2
WC-K,L40,1,0,0,2
WC-K,WC-L,0,1,0,2
K13,WC-L,2,2,0,2
WC-J,WC-H,1,1,0,2
H79,H92,1,0,0,2
K32,H92,1,0,0,2
H38,L12,1,0,0,2
H92,L12,1,0,0,2
H38,Elevator,0,3,0,2
Elevator,L12,1,1,0,2
L12,K13,1,1,0,2
L12,WC-H,0,1,0,2
WC-H,Elevator,0,1,0,2
