role,name,count_role,count_name,count_occ_1,count_occ_2
staff,seminar room,9490000000,2510000,1180000,1350000
staff,toilet,9490000000,1070000000,365000000,555000000
staff,library,9490000000,4930000000,2960000000,3270000000
staff,it service room,9490000000,24200,3670,3440
staff,meeting room,9490000000,50000000,107000000,104000000
staff,elevator,9490000000,229000000,390000000,365000000
staff,coffee room,9490000000,1700000,1110000,1140000
staff,image material,9490000000,2310000,0,0
staff,secretary office,9490000000,5390000,1960000,2250000
staff,service room,9490000000,8330000,6450000,6310000
staff,computer lab,9490000000,13400000,35000000,36300000
student,seminar room,5540000000,2510000,1710000,1660000
student,toilet,5540000000,1070000000,206000000,198000000
student,library,5540000000,4930000000,2180000000,2430000000
student,it service room,5540000000,24200,2450,2260
student,meeting room,5540000000,50000000,17700000,17000000
student,elevator,5540000000,229000000,112000000,97400000
student,coffee room,5540000000,1700000,989000,1010000
student,image material,5540000000,2310000,0,0
student,secretary office,5540000000,5390000,1800000,1770000
student,service room,5540000000,8330000,639000,639000
student,computer lab,5540000000,13400000,44100000,40400000
