role,name,count_role,count_name,count_occ_1,count_occ_2
staff,seminar room,2440000000,2380000,3990000,3950000
staff,toilet,2440000000,891000000,209000000,198000000
staff,library,2440000000,2280000000,1570000000,1370000000
staff,it service office,2440000000,396000,43500,43500
staff,meeting room,2440000000,41600000,110000000,112000000
staff,elevator,2440000000,234000000,250000000,241000000
staff,cafeteria,2440000000,152000000,115000000,122000000
staff,image material room,2440000000,9,6,7
staff,secretary office,2440000000,3790000,2430000,2400000
staff,service office,2440000000,54400000,7430000,7450000
staff,computer lab,2440000000,9750000,16400000,16400000
student,seminar room,3340000000,2380000,2740000,2720000
student,toilet,3340000000,891000000,81200000,80200000
student,library,3340000000,2280000000,1520000000,1850000000
student,it service office,3340000000,396000,38500,38500
student,meeting room,3340000000,41600000,12200000,11900000
student,elevator,3340000000,234000000,71800000,72100000
student,coffee room,3340000000,1430000,118000000,118000000
student,image material room,3340000000,9,3,3
student,secretary office,3340000000,3790000,2430000,2320000
student,service office,3340000000,54400000,2660000,2990000
student,computer lab,3340000000,9750000,15100000,14700000
