PID,gender,age,SOD,role,staying,floor,office_number,pair,place1,place2,place4familiar,place4unfamiliar,familiar,unfamiliar,vis_diff_1,str_diff_1,sem_diff_1,sign_diff_1,fre_diff_1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
FS013,male,27,95,scientific staff,39,L,88, ,K32,WC-L,K32,K32,1,1,-.427071679,-.560750624,.464692004,-1.195228609,-1.669761686,-.772667409,0,-.508547628,-1.217161239,.863331695,-1.328422328,-.431665847,1.825741858,0,-1.195228609,-1.669761686
FS013,male,27,95,scientific staff,39,L,88, ,K32,L12,K32,K32,1,1,-1.433117852,-1.195276678,.287777232,1.195228609,.333952337,-1.159001114,-.597614305,-2.542738139,-1.825741858,-.431665847,-1.328422328,.863331695,0,0,1.195228609,.333952337
FS013,male,27,95,scientific staff,39,L,88, ,K32,L11,L11,K32,-1,1,.11772882,-1.638084121,-.143888616,1.195228609,-1.669761686,.772667409,.597614305,-1.017095255,-1.825741858,-.431665847,-2.656844657,-.431665847,0,0,1.195228609,-1.669761686
FS013,male,27,95,scientific staff,39,L,88, ,K32,L40,K32,K32,1,1,.983948009,.922303285,2.080378492,1.195228609,.333952337,1.159001114,1.792842914,0,.608580619,2.158329237,0,2.158329237,1.825741858,2.257064382,1.195228609,.333952337
FS013,male,27,95,scientific staff,39,L,88, ,K32,J10,K32,K32,1,1,.983948009,-.848527856,1.397927714,1.195228609,.333952337,1.159001114,1.792842914,0,-1.217161239,0,-1.328422328,.863331695,1.825741858,1.504709588,1.195228609,.333952337
FS013,male,27,95,scientific staff,39,L,88, ,WC-L,L12,WC-L,L12,1,-1,-1.006046173,-.634526054,-.176914772,2.390457219,2.003714024,-.386333705,-.597614305,-2.034190511,-.608580619,-1.294997542,0,1.294997542,-1.825741858,0,2.390457219,2.003714024
FS013,male,27,95,scientific staff,39,L,88, ,WC-L,L11,L11,WC-L,-1,1,.544800499,-1.077333497,-.608580619,2.390457219,0,1.545334819,.597614305,-.508547628,-.608580619,-1.294997542,-1.328422328,0,-1.825741858,0,2.390457219,0
FS013,male,27,95,scientific staff,39,L,88, ,WC-L,L40,WC-L,WC-L,1,1,1.411019688,1.48305391,1.615686488,2.390457219,2.003714024,1.931668523,1.792842914,.508547628,1.825741858,1.294997542,1.328422328,2.589995084,0,2.257064382,2.390457219,2.003714024
FS013,male,27,95,scientific staff,39,L,88, ,WC-L,J10,WC-L,WC-L,1,1,1.411019688,-.287777232,.93323571,2.390457219,2.003714024,1.931668523,1.792842914,.508547628,0,-.863331695,0,1.294997542,0,1.504709588,2.390457219,2.003714024
FS013,male,27,95,scientific staff,39,L,88, ,L12,L11,L11,L12,-1,1,1.550846672,-.442807443,-.431665847,0,-2.003714024,1.931668523,1.195228609,1.525642883,0,0,-1.328422328,-1.294997542,0,0,0,-2.003714024
FS013,male,27,95,scientific staff,39,L,88, ,L12,L40,L12,L12,1,1,2.417065862,2.117579963,1.792601261,0,0,2.318002228,2.390457219,2.542738139,2.434322478,2.589995084,1.328422328,1.294997542,1.825741858,2.257064382,0,0
FS013,male,27,95,scientific staff,39,L,88, ,L12,J10,L12,L12,1,1,2.417065862,.346748822,1.110150482,0,0,2.318002228,2.390457219,2.542738139,.608580619,.431665847,0,0,1.825741858,1.504709588,0,0
FS013,male,27,95,scientific staff,39,L,88, ,L11,L40,L11,L11,1,1,.86621919,2.560387406,2.224267108,0,2.003714024,.386333705,1.195228609,1.017095255,2.434322478,2.589995084,2.656844657,2.589995084,1.825741858,2.257064382,0,2.003714024
FS013,male,27,95,scientific staff,39,L,88, ,L11,J10,L11,L11,1,1,.86621919,.789556265,1.541816329,0,2.003714024,.386333705,1.195228609,1.017095255,.608580619,.431665847,1.328422328,1.294997542,1.825741858,1.504709588,0,2.003714024
FS013,male,27,95,scientific staff,39,L,88, ,L40,J10,J10,J10,-1,-1,0,-1.770831141,-.682450779,0,0,0,0,0,-1.825741858,-2.158329237,-1.328422328,-1.294997542,0,-.752354794,0,0
FS014,female,28,80,scientific staff,96,H,84, ,H38,WC-H,WC-H,WC-H,-1,-1,-.190346747,-.774113,-2.005855869,-1.463850109,-2.685430778,-.571040241,0,0,-.58058475,-1.741754249,0,-2.322338999,-2.5,-1.195228609,-1.463850109,-2.685430778
FS014,female,28,80,scientific staff,96,H,84, ,H38,L11,L11,H38,-1,1,1.288941784,1.312509804,-2.210737156,.731925055,0,1.142080481,1.5,1.224744871,1.741754249,0,2.195775164,-1.741754249,-2.5,-2.390457219,.731925055,0
FS014,female,28,80,scientific staff,96,H,84, ,H38,L40,L40,H38,-1,1,2.411216902,1.506038054,-2.044070489,0,-.537086156,2.284160963,2.5,2.449489743,1.741754249,.58058475,2.195775164,-1.741754249,-2,-2.390457219,0,-.537086156
FS014,female,28,80,scientific staff,96,H,84, ,H38,K13, ,H38, ,1,1.288941784,-.143081482,-2.597793656,-1.463850109,-.537086156,1.142080481,1.5,1.224744871,0,-1.1611695,.731925055,-2.902923749,-2.5,-2.390457219,-1.463850109,-.537086156
FS014,female,28,80,scientific staff,96,H,84, ,H38,J10,J10,H38,-1,1,.357013414,-.336609732,-2.404265406,.731925055,-.537086156,.571040241,.5,0,0,-1.741754249,.731925055,-2.322338999,-2.5,-2.390457219,.731925055,-.537086156
FS014,female,28,80,scientific staff,96,H,84, ,WC-H,L11,WC-H,WC-H,1,1,1.479288531,2.086622804,-.204881287,2.195775164,2.685430778,1.713120722,1.5,1.224744871,2.322338999,1.741754249,2.195775164,.58058475,0,-1.195228609,2.195775164,2.685430778
FS014,female,28,80,scientific staff,96,H,84, ,WC-H,L40,WC-H, ,1, ,2.601563649,2.280151054,-.03821462,1.463850109,2.148344622,2.855201204,2.5,2.449489743,2.322338999,2.322338999,2.195775164,.58058475,.5,-1.195228609,1.463850109,2.148344622
FS014,female,28,80,scientific staff,96,H,84, ,WC-H,K13,WC-H,K13,1,-1,1.479288531,.631031518,-.591937786,0,2.148344622,1.713120722,1.5,1.224744871,.58058475,.58058475,.731925055,-.58058475,0,-1.195228609,0,2.148344622
FS014,female,28,80,scientific staff,96,H,84, ,WC-H,J10,WC-H,WC-H,1,1,.54736016,.437503268,-.398409536,2.195775164,2.148344622,1.142080481,.5,0,.58058475,0,.731925055,0,0,-1.195228609,2.195775164,2.148344622
FS014,female,28,80,scientific staff,96,H,84, ,L11,L40,L11, ,1, ,1.122275118,.19352825,.166666667,-.731925055,-.537086156,1.142080481,1,1.224744871,0,.58058475,0,0,.5,0,-.731925055,-.537086156
FS014,female,28,80,scientific staff,96,H,84, ,L11,K13,K13,K13,-1,-1,0,-1.455591286,-.3870565,-2.195775164,-.537086156,0,0,0,-1.741754249,-1.1611695,-1.463850109,-1.1611695,0,0,-2.195775164,-.537086156
FS014,female,28,80,scientific staff,96,H,84, ,L11,J10,J10,J10,-1,-1,-.931928371,-1.649119536,-.19352825,0,-.537086156,-.571040241,-1,-1.224744871,-1.741754249,-1.741754249,-1.463850109,-.58058475,0,0,0,-.537086156
FS014,female,28,80,scientific staff,96,H,84, ,L40,K13,L40,L40,1,1,-1.122275118,-1.649119536,-.553723167,-1.463850109,0,-1.142080481,-1,-1.224744871,-1.741754249,-1.741754249,-1.463850109,-1.1611695,-.5,0,-1.463850109,0
FS014,female,28,80,scientific staff,96,H,84, ,L40,J10,J10,J10,-1,-1,-2.054203488,-1.842647786,-.360194917,.731925055,0,-1.713120722,-2,-2.449489743,-1.741754249,-2.322338999,-1.463850109,-.58058475,-.5,0,.731925055,0
FS014,female,28,80,scientific staff,96,H,84, ,K13,J10,K13,K13,1,1,-.931928371,-.19352825,.19352825,2.195775164,0,-.571040241,-1,-1.224744871,0,-.58058475,0,.58058475,0,0,2.195775164,0
