fold,n_estimators,num_leaves,max_depth,learning_rate,ndcg@1_score
1,5,5,5,0.02,0.028141321044546846
1,5,5,5,0.04,0.028141321044546846
1,5,5,5,0.06,0.03505376344086022
1,5,5,5,0.08,0.04196620583717357
1,5,5,5,0.1,0.04196620583717357
1,5,5,5,0.12,0.028141321044546846
1,5,5,5,0.14,0.028141321044546846
1,5,5,5,0.16,0.028141321044546846
1,5,5,5,0.18,0.028141321044546846
1,5,5,5,0.2,0.028141321044546846
1,5,5,10,0.02,0.028141321044546846
1,5,5,10,0.04,0.028141321044546846
1,5,5,10,0.06,0.03505376344086022
1,5,5,10,0.08,0.04196620583717357
1,5,5,10,0.1,0.04196620583717357
1,5,5,10,0.12,0.028141321044546846
1,5,5,10,0.14,0.028141321044546846
1,5,5,10,0.16,0.028141321044546846
1,5,5,10,0.18,0.028141321044546846
1,5,5,10,0.2,0.028141321044546846
1,5,5,15,0.02,0.028141321044546846
1,5,5,15,0.04,0.028141321044546846
1,5,5,15,0.06,0.03505376344086022
1,5,5,15,0.08,0.04196620583717357
1,5,5,15,0.1,0.04196620583717357
1,5,5,15,0.12,0.028141321044546846
1,5,5,15,0.14,0.028141321044546846
1,5,5,15,0.16,0.028141321044546846
1,5,5,15,0.18,0.028141321044546846
1,5,5,15,0.2,0.028141321044546846
1,5,5,20,0.02,0.028141321044546846
1,5,5,20,0.04,0.028141321044546846
1,5,5,20,0.06,0.03505376344086022
1,5,5,20,0.08,0.04196620583717357
1,5,5,20,0.1,0.04196620583717357
1,5,5,20,0.12,0.028141321044546846
1,5,5,20,0.14,0.028141321044546846
1,5,5,20,0.16,0.028141321044546846
1,5,5,20,0.18,0.028141321044546846
1,5,5,20,0.2,0.028141321044546846
1,5,10,5,0.02,0.028141321044546846
1,5,10,5,0.04,0.028141321044546846
1,5,10,5,0.06,0.028141321044546846
1,5,10,5,0.08,0.03159754224270354
1,5,10,5,0.1,0.03505376344086022
1,5,10,5,0.12,0.03505376344086022
1,5,10,5,0.14,0.03505376344086022
1,5,10,5,0.16,0.03505376344086022
1,5,10,5,0.18,0.055668202764976936
1,5,10,5,0.2,0.03505376344086022
1,5,10,10,0.02,0.028141321044546846
1,5,10,10,0.04,0.028141321044546846
1,5,10,10,0.06,0.03159754224270354
1,5,10,10,0.08,0.03159754224270354
1,5,10,10,0.1,0.03159754224270354
1,5,10,10,0.12,0.03505376344086022
1,5,10,10,0.14,0.03159754224270354
1,5,10,10,0.16,0.028141321044546846
1,5,10,10,0.18,0.03505376344086022
1,5,10,10,0.2,0.03159754224270354
1,5,10,15,0.02,0.028141321044546846
1,5,10,15,0.04,0.028141321044546846
1,5,10,15,0.06,0.03159754224270354
1,5,10,15,0.08,0.03159754224270354
1,5,10,15,0.1,0.03159754224270354
1,5,10,15,0.12,0.03505376344086022
1,5,10,15,0.14,0.03159754224270354
1,5,10,15,0.16,0.028141321044546846
1,5,10,15,0.18,0.03505376344086022
1,5,10,15,0.2,0.03159754224270354
1,5,10,20,0.02,0.028141321044546846
1,5,10,20,0.04,0.028141321044546846
1,5,10,20,0.06,0.03159754224270354
1,5,10,20,0.08,0.03159754224270354
1,5,10,20,0.1,0.03159754224270354
1,5,10,20,0.12,0.03505376344086022
1,5,10,20,0.14,0.03159754224270354
1,5,10,20,0.16,0.028141321044546846
1,5,10,20,0.18,0.03505376344086022
1,5,10,20,0.2,0.03159754224270354
1,5,15,5,0.02,0.03159754224270354
1,5,15,5,0.04,0.03159754224270354
1,5,15,5,0.06,0.03505376344086022
1,5,15,5,0.08,0.028141321044546846
1,5,15,5,0.1,0.024685099846390165
1,5,15,5,0.12,0.024685099846390165
1,5,15,5,0.14,0.024685099846390165
1,5,15,5,0.16,0.03505376344086022
1,5,15,5,0.18,0.0557910906298003
1,5,15,5,0.2,0.06258064516129032
