,fold,role,familiarity,test set size,hit number,HR,model type,MAE
0,,,,,,0.8461538461538461,LC,0.5367027324214462
1,,,,,,0.6875,LC,0.6373257539782015
2,,,,,,0.7482517482517483,LC,0.6038239272967281
3,,,,,,0.4666666666666667,LC,0.9271314369469896
4,,,,,,0.5416666666666667,LC,0.659601329415769
5,,,,,,0.6,LC,0.9574114051074972
6,,,,,,0.75,LC,0.6695083493067507
7,,,,,,0.5125,LC,0.9269334602931096
8,,,,,,0.6846153846153846,LC,0.700993834697145
9,,,,,,0.7067307692307692,LC,0.6289558507972269
10,,,,,,0.6,LC,0.7702125018847636
11,,,,,,0.4,LC,0.824214754870663
12,,,,,,0.8214285714285714,LC,0.6113774107735708
13,,,,,,0.5079365079365079,LC,0.9377435346867418
14,,,,,,0.6928571428571428,LC,0.6044452854732505
15,,,,,,0.6272727272727272,LC,0.7105914784679189
16,,,,,,0.6515151515151515,LC,0.758743597585322
17,,,,10.0,,0.47916666666666663,GP,0.8947399135872215
18,,,,12.0,,0.6258741258741258,GP,0.7321334260612424
19,,,,12.0,,0.625,GP,0.7714703908104587
20,,,,8.0,,0.25,GP,1.189207976696888
21,,,,9.0,,0.5125,GP,0.8662626468754318
22,,,,10.0,,0.55,GP,0.8717990280529493
23,,,,5.0,,0.6,GP,0.8314620683663282
24,,,,12.5,,0.22402597402597405,GP,1.1848921479271672
25,,,,8.0,,0.42063492063492064,GP,1.0161985316064235
26,,,,10.5,,0.5727272727272728,GP,0.7659476384949173
27,,,,10.0,,0.5404040404040404,GP,0.835976339799485
28,,,,,,0.8461538461538461,SVM,
29,,,,,,0.7708333333333333,SVM,
30,,,,,,0.5944055944055945,SVM,
31,,,,,,0.6222222222222222,SVM,
32,,,,,,0.7083333333333333,SVM,
33,,,,,,0.8,SVM,
34,,,,,,0.5,SVM,
35,,,,,,0.45,SVM,
36,,,,,,0.3884615384615384,SVM,
37,,,,,,0.7379807692307692,SVM,
38,,,,,,0.65,SVM,
39,,,,,,0.6,SVM,
40,,,,,,0.8571428571428572,SVM,
41,,,,,,0.5079365079365079,SVM,
42,,,,,,0.6071428571428572,SVM,
43,,,,,,0.5363636363636364,SVM,
44,,,,,,0.6515151515151515,SVM,
45,,,,,,0.8076923076923077,RF,
46,,,,,,0.75,RF,
47,,,,,,0.7937062937062938,RF,
48,,,,,,0.6777777777777778,RF,
49,,,,,,0.5416666666666667,RF,
50,,,,,,0.4,RF,
51,,,,,,0.75,RF,
52,,,,,,0.55,RF,
53,,,,,,0.3269230769230769,RF,
54,,,,,,0.6057692307692308,RF,
55,,,,,,0.65,RF,
56,,,,,,0.6,RF,
57,,,,,,0.5844155844155844,RF,
58,,,,,,0.4920634920634921,RF,
59,,,,,,0.7571428571428571,RF,
60,,,,,,0.7181818181818183,RF,
61,,,,,,0.606060606060606,RF,
62,,,,,,0.5,Ours,1.8186907048229843
63,,,,,,0.8125,Ours,1.2330655396989791
64,,,,,,0.8391608391608392,Ours,1.3365991037365634
65,,,,,,0.8333333333333333,Ours,1.490763190660426
66,,,,,,0.6666666666666667,Ours,1.4314410530138613
67,,,,,,1.0,Ours,1.3167829596645313
68,,,,,,0.875,Ours,1.0928445541267502
69,,,,,,0.875,Ours,1.3627342139410732
70,,,,,,0.6730769230769231,Ours,1.430985273502098
71,,,,,,0.7668269230769231,Ours,1.4135620457293216
72,,,,,,0.65,Ours,1.4752976637296693
73,,,,,,0.8,Ours,1.624087699285956
74,,,,,,0.711038961038961,Ours,1.618308718982978
75,,,,,,0.7063492063492063,Ours,1.5057646706174106
76,,,,,,0.8,Ours,1.4218976625201192
77,,,,,,0.7181818181818183,Ours,1.5016617610427196
78,,,,,,0.7525252525252526,Ours,1.5359927296281524
