fold,familiarity,HR,model familiarity,
1,familiar,0.615384615,familiar,0.737332847
2,familiar,0.791666667,familiar,
3,familiar,0.800699301,familiar,
4,familiar,0.833333333,familiar,
5,familiar,0.666666667,familiar,
6,familiar,0.8,familiar,
7,familiar,0.875,familiar,
8,familiar,0.8125,familiar,
9,familiar,0.761538462,familiar,
10,familiar,0.759615385,familiar,
11,familiar,0.5,familiar,
12,familiar,0.8,familiar,
13,familiar,0.711038961,familiar,
14,familiar,0.563492063,familiar,
15,familiar,0.828571429,familiar,
16,familiar,0.718181818,familiar,
17,familiar,0.696969697,familiar,
1,familiar,0.423076923,unfamiliar,0.634158937
2,familiar,0.708333333,unfamiliar,
3,familiar,0.70979021,unfamiliar,
4,familiar,0.533333333,unfamiliar,
5,familiar,0.541666667,unfamiliar,
6,familiar,0.8,unfamiliar,
7,familiar,0.875,unfamiliar,
8,familiar,0.55,unfamiliar,
9,familiar,0.584615385,unfamiliar,
10,familiar,0.641826923,unfamiliar,
11,familiar,0.5,unfamiliar,
12,familiar,0.6,unfamiliar,
13,familiar,0.775974026,unfamiliar,
14,familiar,0.761904762,unfamiliar,
15,familiar,0.692857143,unfamiliar,
16,familiar,0.577272727,unfamiliar,
17,familiar,0.505050505,unfamiliar,
