fold,familiarity,MAE,model familiarity
1,familiar,1.498841730498145,familiar
2,familiar,1.3502556226267235,familiar
3,familiar,1.343869834809284,familiar
4,familiar,1.4772355293136201,familiar
5,familiar,1.416860909503799,familiar
6,familiar,1.3455763872215,familiar
7,familiar,1.1028085794894666,familiar
8,familiar,1.3662869179687571,familiar
9,familiar,1.3012617270455085,familiar
10,familiar,1.2934025185021465,familiar
11,familiar,1.6068804668368495,familiar
12,familiar,1.5993443085658838,familiar
13,familiar,1.5718761293271006,familiar
14,familiar,1.5507771218407247,familiar
15,familiar,1.3967006877883184,familiar
16,familiar,1.5279232153652238,familiar
17,familiar,1.619210235428638,familiar
1,familiar,1.933212223201116,unfamiliar
2,familiar,1.3886332882723162,unfamiliar
3,familiar,1.3590621046005067,unfamiliar
4,familiar,2.0867845086629635,unfamiliar
5,familiar,1.543073325917777,unfamiliar
6,familiar,1.6742676130718717,unfamiliar
7,familiar,1.1157027495275575,unfamiliar
8,familiar,1.6731753233014732,unfamiliar
9,familiar,1.4807458996467613,unfamiliar
10,familiar,1.515420448350782,unfamiliar
11,familiar,1.6740988333932134,unfamiliar
12,familiar,1.9039615005579824,unfamiliar
13,familiar,1.3991579320553802,unfamiliar
14,familiar,1.4387657502520552,unfamiliar
15,familiar,1.4157610173736643,unfamiliar
16,familiar,1.7154209809538865,unfamiliar
17,familiar,1.8477633525829567,unfamiliar
