fold,familiarity,MAE,model familiarity
1,unfamiliar,1.8326791525672932,familiar
2,unfamiliar,1.4743778748698706,familiar
3,unfamiliar,1.484426077180725,familiar
4,unfamiliar,1.8764646455141305,familiar
5,unfamiliar,1.5517663233966537,familiar
6,unfamiliar,1.3455763872215,familiar
7,unfamiliar,1.2718192760712854,familiar
8,unfamiliar,1.494449403722224,familiar
9,unfamiliar,1.2656121055526048,familiar
10,unfamiliar,1.3985039604495229,familiar
11,unfamiliar,1.3948847144042662,familiar
12,unfamiliar,1.5993443085658838,familiar
13,unfamiliar,1.7773006343571005,familiar
14,unfamiliar,2.1003532122293995,familiar
15,unfamiliar,1.495578580057317,familiar
16,unfamiliar,1.6284459547896701,familiar
17,unfamiliar,1.815056575910306,familiar
1,unfamiliar,2.213422927514662,unfamiliar
2,unfamiliar,1.4208864472733538,unfamiliar
3,unfamiliar,1.2382948980124453,unfamiliar
4,unfamiliar,1.1893709147918927,unfamiliar
5,unfamiliar,1.1609648130292023,unfamiliar
6,unfamiliar,1.6742676130718717,unfamiliar
7,unfamiliar,1.0201009551013849,unfamiliar
8,unfamiliar,1.3533788763305825,unfamiliar
9,unfamiliar,1.1378436919243444,unfamiliar
10,unfamiliar,1.1865551849896336,unfamiliar
11,unfamiliar,1.2480635280343781,unfamiliar
12,unfamiliar,1.9039615005579824,unfamiliar
13,unfamiliar,1.446652649568496,unfamiliar
14,unfamiliar,1.6060865577965264,unfamiliar
15,unfamiliar,1.2463842526012587,unfamiliar
16,unfamiliar,1.3897134816814205,unfamiliar
17,unfamiliar,1.7951312708950873,unfamiliar
