removed_feature,HR,MAE,,
choice,0.615384615,1.590914593,0.722165639,1.505449223
choice,0.75,1.315925121,,
choice,0.833333333,1.346607956,,
choice,0.642857143,1.648721555,,
choice,0.833333333,1.430617305,,
choice,0.6,1.898437843,,
choice,1,1.027638696,,
choice,0.666666667,1.432654255,,
choice,0.52173913,1.520616483,,
choice,0.75862069,1.428776015,,
choice,0.5,1.643056894,,
choice,0.8,1.836402641,,
choice,0.84,1.424868208,,
choice,0.8125,1.505649549,,
choice,0.833333333,1.395911535,,
choice,0.619047619,1.480576355,,
choice,0.65,1.665261792,,
uniqueness,0.615384615,1.590914593,0.731479365,1.495665427
uniqueness,0.75,1.315925121,,
uniqueness,0.833333333,1.346607956,,
uniqueness,0.642857143,1.648721555,,
uniqueness,0.833333333,1.430617305,,
uniqueness,0.6,1.878659125,,
uniqueness,1,1.027638696,,
uniqueness,0.666666667,1.432654255,,
uniqueness,0.52173913,1.520616483,,
uniqueness,0.75862069,1.428776015,,
uniqueness,0.7,1.505734855,,
uniqueness,0.8,1.836402641,,
uniqueness,0.84,1.424868208,,
uniqueness,0.8125,1.505649549,,
uniqueness,0.791666667,1.38668776,,
uniqueness,0.619047619,1.480576355,,
uniqueness,0.65,1.665261792,,
integration,0.615384615,1.590914593,0.736731465,1.498461225
integration,0.75,1.315925121,,
integration,0.833333333,1.346607956,,
integration,0.642857143,1.648721555,,
integration,0.833333333,1.3894282,,
integration,0.6,1.878659125,,
integration,1,1.027638696,,
integration,0.666666667,1.432654255,,
integration,0.52173913,1.520616483,,
integration,0.75862069,1.428776015,,
integration,0.7,1.505734855,,
integration,0.8,1.836402641,,
integration,0.84,1.424868208,,
integration,0.8125,1.505649549,,
integration,0.833333333,1.372418162,,
integration,0.666666667,1.575071352,,
integration,0.65,1.673754066,,
wellknownness,0.615384615,1.590914593,0.731829505,1.494576208
wellknownness,0.75,1.315925121,,
wellknownness,0.791666667,1.339917219,,
wellknownness,0.642857143,1.648721555,,
wellknownness,0.833333333,1.3894282,,
wellknownness,0.6,1.878659125,,
wellknownness,1,1.027706205,,
wellknownness,0.666666667,1.432654255,,
wellknownness,0.52173913,1.471494977,,
wellknownness,0.75862069,1.428776015,,
wellknownness,0.7,1.505734855,,
wellknownness,0.8,1.836402641,,
wellknownness,0.84,1.424868208,,
wellknownness,0.8125,1.505649549,,
wellknownness,0.791666667,1.362018037,,
wellknownness,0.666666667,1.575170918,,
wellknownness,0.65,1.673754066,,
proximity2be,0.615384615,1.590914593,0.699858652,1.499592256
proximity2be,0.75,1.315925121,,
proximity2be,0.625,1.39095705,,
