removed_feature,HR,MAE,,
integration,0.321428571,2.247896828,0.782539586,1.468046725
integration,0.913043478,1.157958111,,
integration,0.925925926,1.198069404,,
integration,0.875,1.22339104,,
integration,0.909090909,1.15534238,,
integration,0.8,2,,
integration,1,1.024347694,,
integration,0.882352941,1.383919742,,
integration,0.782608696,1.275647977,,
integration,0.793103448,1.237749919,,
integration,0.80952381,1.331629102,,
integration,0.6,1.955535614,,
integration,0.730769231,1.665560841,,
integration,0.823529412,1.504363826,,
integration,0.727272727,1.221949308,,
integration,0.80952381,1.354680602,,
integration,0.6,2.018751934,,
choice,0.321428571,2.247896828,0.782539586,1.468046725
choice,0.913043478,1.157958111,,
choice,0.925925926,1.198069404,,
choice,0.875,1.22339104,,
choice,0.909090909,1.15534238,,
choice,0.8,2,,
choice,1,1.024347694,,
choice,0.882352941,1.383919742,,
choice,0.782608696,1.275647977,,
choice,0.793103448,1.237749919,,
choice,0.80952381,1.331629102,,
choice,0.6,1.955535614,,
choice,0.730769231,1.665560841,,
choice,0.823529412,1.504363826,,
choice,0.727272727,1.221949308,,
choice,0.80952381,1.354680602,,
choice,0.6,2.018751934,,
wellknownness,0.321428571,2.247896828,0.776937345,1.46175311
wellknownness,0.913043478,1.157958111,,
wellknownness,0.925925926,1.198069404,,
wellknownness,0.875,1.22339104,,
wellknownness,0.909090909,1.15534238,,
wellknownness,0.8,2,,
wellknownness,1,1.024347694,,
wellknownness,0.882352941,1.383919742,,
wellknownness,0.782608696,1.275647977,,
wellknownness,0.793103448,1.237749919,,
wellknownness,0.714285714,1.224637658,,
wellknownness,0.6,1.955535614,,
wellknownness,0.730769231,1.665560841,,
wellknownness,0.823529412,1.504363826,,
wellknownness,0.727272727,1.221949308,,
wellknownness,0.80952381,1.354680602,,
wellknownness,0.6,2.018751934,,
uniqueness,0.321428571,2.29748883,0.773243091,1.473006286
uniqueness,0.913043478,1.324703409,,
uniqueness,0.925925926,1.198069404,,
uniqueness,0.875,1.22339104,,
uniqueness,0.909090909,1.15534238,,
uniqueness,0.8,2,,
uniqueness,1,0.986844085,,
uniqueness,0.882352941,1.383919742,,
uniqueness,0.782608696,1.275647977,,
uniqueness,0.827586207,1.168448013,,
uniqueness,0.714285714,1.224637658,,
uniqueness,0.6,1.955535614,,
uniqueness,0.692307692,1.668996364,,
uniqueness,0.764705882,1.582700497,,
uniqueness,0.727272727,1.221949308,,
uniqueness,0.80952381,1.354680602,,
uniqueness,0.6,2.018751934,,
shape_size,0.321428571,2.29748883,0.769186296,1.473192414
shape_size,0.913043478,1.145498721,,
shape_size,0.925925926,1.198069404,,
shape_size,0.875,1.204331244,,
shape_size,0.909090909,1.15534238,,
shape_size,0.8,2,,
shape_size,1,1.075556737,,
shape_size,0.882352941,1.383919742,,
shape_size,0.782608696,1.275647977,,
shape_size,0.75862069,1.224265022,,
shape_size,0.714285714,1.224637658,,
shape_size,0.6,1.955535614,,
shape_size,0.692307692,1.725895367,,
shape_size,0.764705882,1.582700497,,
shape_size,0.727272727,1.221949308,,
shape_size,0.80952381,1.354680602,,
shape_size,0.6,2.018751934,,
proximity2dp,0.321428571,2.236085212,0.776362052,1.468993922
proximity2dp,0.913043478,1.160770367,,
proximity2dp,0.888888889,1.217595642,,
proximity2dp,0.875,1.22339104,,
proximity2dp,0.863636364,1.230638917,,
proximity2dp,0.8,2,,
proximity2dp,1,1.075556737,,
proximity2dp,0.882352941,1.383919742,,
proximity2dp,0.782608696,1.275647977,,
proximity2dp,0.793103448,1.230302904,,
proximity2dp,0.761904762,1.326278892,,
proximity2dp,0.6,1.955535614,,
proximity2dp,0.769230769,1.477229984,,
proximity2dp,0.764705882,1.582700497,,
proximity2dp,0.772727273,1.223810611,,
proximity2dp,0.80952381,1.354680602,,
proximity2dp,0.6,2.018751934,,
proximity2fe,0.821428571,1.214283839,0.791586871,1.396356763
proximity2fe,0.913043478,1.276216816,,
proximity2fe,0.851851852,1.209351565,,
proximity2fe,0.875,1.143483524,,
proximity2fe,0.863636364,1.230638917,,
proximity2fe,0.8,2,,
proximity2fe,0.875,1.098957959,,
proximity2fe,0.823529412,1.260592152,,
proximity2fe,0.739130435,1.106382827,,
proximity2fe,0.827586207,1.154929546,,
proximity2fe,0.666666667,1.432099205,,
proximity2fe,0.6,1.955535614,,
proximity2fe,0.807692308,1.296963361,,
proximity2fe,0.764705882,1.547122016,,
proximity2fe,0.818181818,1.248298917,,
proximity2fe,0.80952381,1.519590253,,
proximity2fe,0.6,2.043618457,,
proximity2be,0.821428571,1.309075757,0.782260874,1.415578894
proximity2be,0.913043478,1.276216816,,
proximity2be,0.740740741,1.246462196,,
proximity2be,0.875,1.143483524,,
proximity2be,0.772727273,1.270892646,,
proximity2be,0.8,2,,
proximity2be,0.875,1.012686107,,
proximity2be,0.823529412,1.322792946,,
proximity2be,0.782608696,1.347490099,,
proximity2be,0.827586207,1.14811284,,
proximity2be,0.571428571,1.547932068,,
proximity2be,0.6,1.955535614,,
proximity2be,0.807692308,1.296963361,,
proximity2be,0.764705882,1.548537061,,
proximity2be,0.818181818,1.248298917,,
proximity2be,0.904761905,1.346742791,,
proximity2be,0.6,2.043618457,,
relevance,0.857142857,1.309020577,0.780286439,1.405199839
relevance,0.913043478,1.312881674,,
relevance,0.666666667,1.376871819,,
relevance,0.875,1.224927155,,
relevance,0.636363636,1.311063928,,
relevance,0.8,1.897698413,,
relevance,0.875,0.83989094,,
